G21B1/00	熱核融合炉
G21B1/01	核融合−分裂炉
G21B1/03	慣性によるプラズマ閉じ込めを使用するもの
G21B1/05	磁気または電気によるプラズマ閉じ込めを使用するもの
G21B1/052	｛場の反転配位｝
G21B1/055	｛ステラレータ｝
G21B1/057	｛トカマク｝
G21B1/11	細部に関するもの
G21B1/115	｛三重水素回収｝
G21B1/13	第一壁；ブランケット；ダイバータ
G21B1/15	熱核融合反応を発生させるための粒子注入器，例．ペレット入射装置
G21B1/17	真空室；真空システム
G21B1/19	熱核融合反応を起こすためのターゲット
G21B1/21	電力供給システム，例．磁気システムのためのもの
G21B1/23	光学システム，例．ターゲットの照射のためのもの，プラズマの加熱のためのもの，またはプラズマ診断のためのもの
G21B1/25	メンテナンス，例．修理または遠隔監視
G21B3/00	低温核融合炉，例．常温核融合炉と称されるもの
G21B3/002	｛マトリックス内の吸収による融合｝
G21B3/004	｛触媒融合，例．ミュ−オン触媒融合｝
G21B3/006	｛衝撃による融合，例．クラスタービーム相互作用，イオンビーム衝突，ターゲットへの衝撃｝
G21B3/008	｛圧力波による融合｝
