H01K1/00	細部
H01K1/02	白熱体
H01K1/04	材質を特徴とするもの
H01K1/06	炭素体
H01K1/08	金属体
H01K1/10	金属体または炭素体に他の物質を結合したもの
H01K1/12	冷却時に於いては非導電性である白熱体，例．ネルンストランプ
H01K1/14	形を特徴とするもの
H01K1/16	白熱体への接続
H01K1/18	白熱体の取り付けまたは支持
H01K1/20	材質を特徴とするもの
H01K1/22	ステム（貫通リード線の封止Ｈ０１Ｋ１／３８）
H01K1/24	両端部で接続部を有するランプ，例．管状ランプ，のためのマウント
H01K1/26	遮へい；フイルタ（外被との組み合わせＨ０１Ｋ１／２８）
H01K1/28	外被；管球
H01K1/30	レンズの結合
H01K1/32	壁面に被覆を施したもの；材質に特徴のある管球または被覆を施したもの
H01K1/325	｛反射被覆｝
H01K1/34	２重管球
H01K1/36	管球部品の封じ，例．ステムと管球間
H01K1/38	導入線の封止
H01K1/40	導入線
H01K1/42	ランプへの電気的接続またはランプの支持を目的とした部品の形成手段
H01K1/44	管球へ直接使用できるものまたは管球の部品を形成するもの
H01K1/46	別々の部品により支持されるもの，例．ベース・キャップ
H01K1/465	｛ランプの緩みまたは無断の取り外しを防止する手段をもつもの｝
H01K1/48	移動可能のキャップ
H01K1/50	充てんガスの選択；圧力を特徴とするもの
H01K1/52	管球内部に所望の圧力を得るかまたは維持する方法
H01K1/54	ガスの吸着または吸収のためのまたは劣化の防止または除去のための方法，例．ゲッタによるもの
H01K1/56	ゲッタの材質を特徴とするもの
H01K1/58	冷却装置
H01K1/60	欠陥または前に使用したことの表示のためにランプに構造的に組み合せた手段
H01K1/62	ランプと構成上提携する１以上の回路要素
H01K1/625	｛点滅する白熱ランプ｝
H01K1/64	組み込みスイッチをもつもの
H01K1/66	組み込みヒューズをもつもの
H01K1/68	組み込み火花間隙をもつもの
H01K1/70	組み込み短絡回路装置をもつもの，例．直列に接続されたランプのためのもの
H01K3/00	白熱ランプまたはその部品の製造，取り付け，除去，保守に適用する装置または製法（ガラス容器の製造Ｃ０３Ｂ）
H01K3/005	｛外被の表面を被覆する方法｝
H01K3/02	白熱体の製造
H01K3/04	そのための機械
H01K3/06	白熱体のマウントへの取り付け
H01K3/065	｛そのための機械｝
H01K3/08	マウントまたはステムの製造
H01K3/10	そのための機械
H01K3/12	管球へのマウントまたはステムの接合；管球へ部品を接合，例．突合封じによるもの
H01K3/14	そのための機械
H01K3/16	管球へのキャップの接合
H01K3/18	そのための機械
H01K3/20	管球へ直接導線を封入
H01K3/22	排気，ガス抜き，充てん，管球清掃
H01K3/24	そのための機械
H01K3/26	管球の閉合
H01K3/28	連続的に配列された操作部をもつ機械
H01K3/30	使用したランプまたは欠陥のあるランプの修理または再生
H01K3/305	｛白熱ランプの検査｝
H01K3/32	白熱ランプの清掃，配置，移動のための補助装置
H01K5/00	一般照明用ランプ（Ｈ０１Ｋ９／００〜Ｈ０１Ｋ１３／００が優先）
H01K5/02	相対する向きに結線をもつもの，例．軸方向に配列されたフィラメントをもつ管状ランプ
H01K7/00	一般照明用以外のランプ（Ｈ０１Ｋ９／００〜Ｈ０１Ｋ１３／００が優先）
H01K7/02	光の細いビームをつくるためのもの；点光源に近似するようにつくったランプ，例．探照灯，映写用（ランプ外の光学手段で細いビームをつくるものＦ２１Ｖ）
H01K7/04	表示用
H01K7/06	装飾用
H01K9/00	別々に加熱される２以上の白熱体をもつランプ（Ｈ０１Ｋ１１／００，Ｈ０１Ｋ１３／００が優先）
H01K9/02	白熱体の１つが故障の場合の代りを備えたもの
H01K9/04	組み込み手動操作スイッチをもつもの
H01K9/06	自動的に予備白熱体の回路を形成するためのスイッチ等の組み込み装置をもつもの
H01K9/08	選択的に異なった照明効果を得ることができるもの，例．自動車ヘッドランプ
H01K11/00	導電加熱されない白熱体をもっているランプ，例．誘導加熱または電子放射により加熱されるもの（Ｈ０１Ｋ１３／００が優先）
H01K13/00	加熱されるまで非導電性の白熱体をもっているランプ，例．ネルンストランプ
H01K13/02	加熱装置
H01K13/04	放電を利用するもの
H01K13/06	誘導加熱を利用するもの；高周波磁界を利用するもの
