H02H1/00	非常保護回路装置の細部
H02H1/0007	｛検出手段に関するもの（一般的にＧ０１ＲまたはＧ０１の他のサブクラス；リードスイッチＨ０１Ｈ７１／２４４５）｝
H02H1/0015	｛アーク検出器を使用するもの｝
H02H1/0023	｛非電気的パラメータを検出するもの，例．光，空気，熱または音センサーによるもの｝
H02H1/003	｛補助電圧の注入による故障検出　（地絡故障電流の検出と同じＨ０２Ｈ３／１７；接地接合モニター用Ｈ０２Ｈ５／１０５）｝
H02H1/0038	｛検出手段の接続に関するもの，例．その数を減らすためのもの｝
H02H1/0046	｛故障により検出手段を切換えるもの，例．その数を減らすためのもの｝
H02H1/0053	｛設定時間中の測定量を保存する手段｝
H02H1/0061	｛信号の伝送に関するもの（測定量あるいは切り替え命令の伝送；少なくとも二つの局間の信号伝送を含む区間保護Ｈ０２Ｈ７／２６１；１系統の２つの離れた部分の電圧または電流値の比較Ｈ０２Ｈ３／２８；他の変数に感知手段の出力を送信するものＧ０１Ｄ５／００；電磁波，電磁波の変調を使った電気測定装置，例．光ビームＧ０１Ｒ１５／２４，Ｇ０１Ｒ１５／２６）｝
H02H1/0069	｛光線あるいは熱線によるもの｝
H02H1/0076	｛電流波形への重畳によるもの｝
H02H1/0084	｛パイロット線あるいは電話回線によるもの；　これらの線を監視するもの｝
H02H1/0092	｛データ処理手段に関するもの，例．エキスパートシステムやニューラルネットワーク｝
H02H1/04	過度的な異常状態，例．雷，に応答することを防止するための装置　｛過電圧または過振動の持続時間を短くする；交流回路網で短絡回路により直流成分の影響を減衰する｝
H02H1/043	｛突入電流に対するもの（Ｈ０２Ｈ１／０４６が優先；トランスの差動保護Ｈ０２Ｈ７／０４５）｝
H02H1/046	｛変流器の飽和検出に関するもの（差動保護用Ｈ０２Ｈ３／２８３）｝
H02H1/06	操作用電力を供給するための装置｛（電源装置一般Ｇ０５Ｆ，Ｈ０２Ｍ）｝
H02H1/063	｛故障電流によって供給されるもの｝
H02H1/066	｛シャントレギュレータを構成するもの｝
H02H3/00	電気的に正常な動作状態からの異常変化に直接応答し，自動開放のための非常保護回路装置，その後において，再閉路する場合あるいはしない場合も含む（電気機械装置の特殊型式のものあるいはケーブル，線路系統の区間保護に適用されているものＨ０２Ｈ７／００；予備電源への切換方式Ｈ０２Ｊ９／００）　｛統合保護（モーターのためのものＨ０２Ｈ７／０８２２）｝
H02H3/003	｛潮流方向の反転に応答するもの　（直流電流の反転Ｈ０２Ｈ３／１８）｝
H02H3/006	｛パラメータの校正　あるいは設定｝
H02H3/02	細部
H02H3/021	｛断路自体に関するもの，例．即時，電流ゼロ，所定命令による断路（ゼロ値での断路一般Ｈ０３Ｋ１７／１８）｝
H02H3/023	｛短絡回路によるもの｝
H02H3/025	｛限流後に断路するもの，例．制限が十分ではない時，または断路を容易にするためのもの｝
H02H3/027	設定時限後に自動開放するもの（Ｈ０２Ｈ３／０３３，Ｈ０２Ｈ３／０６が優先　｛過電流保護回路における時限Ｈ０２Ｈ３／０９３；《足電圧保護回路における時限Ｈ０２Ｈ３／２４７；　時間差をつけた開放Ｈ０２Ｈ７／３０｝）
H02H3/033	優先順に順次開放するもの　｛例．使用者の優先順位，負荷の再分割｝（Ｈ０２Ｈ３／０６が優先）
H02H3/04	開放に伴って警報または監視を行なうもの，例．保護装置が作動したことを指示するもの　｛（パイロット線の監視Ｈ０２Ｈ１／００８４；　保護装置の保護Ｈ０２Ｈ７／００８；　電気スイッチの状態の表示Ｈ０３Ｋ１７／１８）｝
H02H3/042	｛故障探索手段と結合したもの（ケーブルの故障探索Ｇ０１Ｒ３１／０８）｝
H02H3/044	｛保護装置が正しく機能しているかチェックするもの，例．故障をシミュレーションすることによるもの，（差動保護装置のためのものＨ０２Ｈ３／３３５）｝
H02H3/046	｛ヒューズが切れたことを信号で知らせるもの（ランプが切れたことを検出するものＨ０５Ｂ３７／０３）｝
H02H3/048	｛過電圧分流器をチェックするもの｝
H02H3/05	信頼性を向上するための手段をもつもの，例．冗長装置　｛（論理回路のためのもの　Ｈ０３Ｋ１９／００３）｝
H02H3/06	自動再閉路をもつもの
H02H3/063	｛多くの類似装置の共働に関する細部　例．　ネットワークにおけるもの（区分保護Ｈ０２Ｈ７／２６）｝
H02H3/066	｛開路原因である故障の除去による再閉路｝
H02H3/07	再閉路を設定回数繰り返した後，永続的に開放するもの
H02H3/08	過電流に対する応答（過電流に原因する異常温度に応答よるものＨ０２Ｈ５／０４）
H02H3/081	｛電流方向によるもの｝
H02H3/083	｛三相系統のためのもの｝
H02H3/085	｛｛熱センサーを利用するもの，例．過電流により加熱されたサーミスター　（保護装置の温度に応答するものＨ０２Ｈ５／０４１，　サーマルイメージを用いるものＨ０２Ｈ６／００）｝
H02H3/087	直流用のもの
H02H3/093	時限要素をもつもの　｛（一般Ｈ０２Ｈ３／０２７；　熱遅延Ｈ０２Ｈ３／０８５；《足電圧保護の時限要素Ｈ０２Ｈ３／２４７）｝
H02H3/0935	｛計数器によってタイミングを測定するもの｝
H02H3/10	その他の異常な電気的状態にも応答するもの
H02H3/105	｛過電流と大地への故障電流に応答するもの｝
H02H3/12	軽負荷あるいは無負荷に応答するもの　｛（モーターのためのものＨ０２Ｈ７／０８２７）｝
H02H3/13	多相交流用のもの，例．欠相
H02H3/14	普通大地電位の部分の電位発生に応答するもの　｛（接地接合をモニターするためのものＨ０２Ｈ５／１０５）｝
H02H3/16	大地，フレームまたは物体への故障電流に応答するもの（平衡装置あるいは差動装置をもつものＨ０２Ｈ３／２６；　｛接地接合をモニターするためのものＨ０２Ｈ５／１０５｝）
H02H3/162	｛交流方式のためのもの｝
H02H3/165	｛三相系統のためのもの｝
H02H3/167	｛他の地絡保護装置と結合したもの｝
H02H3/17	被保護装置に印加される補助電圧手段によるもの　｛（零相変流器を使用するもの　Ｈ０２Ｈ３／３３）｝
H02H3/18	直流電流の反転に応答するもの
H02H3/20	過電圧に応答するもの
