H02N1/00	動くソリッド型静電荷運搬体を用いた静電発電機または電動機
H02N1/002	｛静電電動機｝
H02N1/004	｛本体が通路に沿って移動する電界との相互作用により通路に沿って移動するもの｝
H02N1/006	｛ギャップ閉鎖型のもの（Ｈ０２Ｎ１／００４が優先）｝
H02N1/008	｛横方向に駆動される電動機，例．櫛駆動型のもの｝
H02N1/04	摩擦起電機
H02N1/06	誘導起電機
H02N1/08	伝導性電荷運搬体をもつもの，すなわち静電発電機
H02N1/10	非伝導性電荷運搬体をもつもの
H02N1/12	コンベヤベルト型のもの，例．バンデグラフ装置
H02N2/00	圧電効果，電歪または磁歪を用いる電機一般（機械的振動の発生一般Ｂ０６Ｂ；圧電，電歪または磁歪素子一般Ｈ１０Ｎ３０／００）
H02N2/0005	｛特異でない動作を生じるもの；Ｈ０２Ｎ２／０２−Ｈ０２Ｎ２／１６に包含されない機械に共通する細部｝
H02N2/001	｛駆動装置，例．振動子｝
H02N2/0015	｛曲げモードのみに用いるもの｝
H02N2/002	｛縦モードまたは径モードのみに用いるもの｝
H02N2/0025	｛組み合わされた縦モードを用いるもの｝
H02N2/003	｛縦モードまたは径モードを曲げモードと組み合わせて用いるもの｝
H02N2/0035	｛円筒状の振動子｝
H02N2/004	｛長方形の振動子｝
H02N2/0045	｛縦モードまたは径モードを捩じりまたは剪断モードと組み合わせて用いるもの｝
H02N2/005	｛機械的細部，例．筐体（発電電気機械の筐体Ｈ０２Ｋ５／００）｝
H02N2/0055	｛駆動体または被駆動体のための支持体；駆動体を被駆動体に押圧するための手段｝
H02N2/006	｛弾性要素，例．ばね（一般Ｆ１６Ｆ１／００）｝
H02N2/0065	｛摩擦面（摩擦ライニングＦ１６Ｄ６９／００）｝
H02N2/007	｛材料｝
H02N2/0075	｛電気的細部，例．駆動または制御の回路または方法｝
H02N2/008	｛振動の周波数または位相を制御するための手段，例．共振追跡のためのもの｝
H02N2/0085	｛リード線；配線装置｝
H02N2/009	｛熱的細部，例．冷却手段｝
H02N2/0095	｛直線運動と回転運動の組み合わせを生じるもの，例．多方向ポジショナ｝
H02N2/02	直線運動を生じるもの，例．アクチュエータ；直線ポジショナ；｛リニアモータ｝
H02N2/021	｛間欠駆動を用いるもの，例．ステップモータ，圧電モータ｝
H02N2/023	｛尺取り虫モータ｝
H02N2/025	｛慣性滑りモータ｝
H02N2/026	｛被駆動体に対する１以上の振動子の押圧によるもの｝
H02N2/028	｛多数のまたは任意の置換方向に沿うもの，例．ＸＹＺステージ｝
H02N2/04	構造の細部
H02N2/043	｛機械的変換手段，例．ストローク増幅用｝
H02N2/046	｛回転運動への変換用｝
H02N2/06	駆動回路；制御装置｛または方法｝
H02N2/062	｛小信号回路；位置または生成された量の制御手段，例．ヒステリシス除去のためのもの｝
H02N2/065	｛大信号回路，例．最終段階｝
H02N2/067	｛駆動パルスの生成｝
H02N2/08	進行波，｛すなわちレイリー表面波｝，を用いるもの
H02N2/10	回転運動を生じるもの，例．ロータリーモータ
H02N2/101	｛間欠駆動を用いるもの，例．ステップモータ｝
H02N2/103	｛回転子に対する１以上の振動子の押圧によるもの｝
H02N2/105	｛サイクロイドまたは揺動モータ；波動牽引モータ｝
H02N2/106	｛ランジュバンモータ｝
H02N2/108	｛多数の回転軸の周りのもの，例．球形回転子モータ｝
H02N2/12	構造の細部
H02N2/123	｛機械的変換手段，例．伝動用｝
H02N2/126	｛直線運動への変換用｝
H02N2/14	駆動回路；制御装置｛または方法｝
H02N2/142	｛小信号回路；位置または生成された量，例．速度，トルク，始動，停止，逆転，の制御手段｝
H02N2/145	｛大信号回路，例．最終段階｝
H02N2/147	｛多相回路｝
H02N2/16	進行波，｛すなわちレイリー表面波｝，を用いるもの
H02N2/163	｛環状の固定子をもつモータ｝
H02N2/166	｛円盤状の固定子をもつモータ｝
H02N2/18	機械的入力から電気的出力を生じるもの，例．発電機（測定装置用Ｇ０１）
H02N2/181	｛回路；制御装置または方法｝
H02N2/183	｛衝突体を用いるもの（点火ライターにおける高電圧発生器Ｆ２３Ｑ）｝
H02N2/185	｛流体の流れを用いるもの｝
H02N2/186	｛振動発電器｝
H02N2/188	｛共振動作に適合したもの｝
H02N2/22	｛製造に関する方法，例．組立，較正｝
H02N3/00	熱または運動エネルギが，流体のイオン化とその流体からの電荷の除去により電気エネルギに変換される発電機（熱電子発生器として作用する電子管Ｈ０１Ｊ４５／００）
H02N10/00	熱効果を用いた電動機｛（加熱または冷却による物体の膨張または収縮を用いるモータＦ０３Ｇ７／０６）｝
H02N11/00	他に分類されない発電機または電動機；電気的または磁気的手段により永久運動を得たと主張するもの（静水圧推力を用いるものＦ０３Ｂ１７／０４；｛機械的手段を用いるものＦ０３Ｇ７／１０｝；動電的手段を用いるもの，｛他の永久磁石と相互作用する永久磁石の装置を含む｝Ｈ０２Ｋ５３／００）
H02N11/002	｛発電機｝
H02N11/004	｛必要な非正弦波形の生成に適合したもの｝
H02N11/006	｛電動機｝
H02N11/008	｛電気的または磁気的な永久運動を主張するもの｝
H02N13/00	静電気の吸引力を用いたクラッチ，把持装置，例．ジョンソン−ラーベック効果を用いたもの
H02N15/00	他に分類されない磁気的吸引力または反発力を用いた支持または浮上装置（工作機械における工作物保持用の電気的または磁気的装置Ｂ２３Ｑ３／１５；｛モノレール車両の推進または懸架Ｂ６０Ｌ１３／００｝；鉄道方式における滑動または空中浮揚装置Ｂ６１Ｂ１３／０８；静電気または磁気的グリッパーを組み込んだコンベヤと協働して物質を取り扱う装置Ｂ６５Ｇ４７／９２；電磁力を用いた薄板状または繊維状部材の堆積物からの分離Ｂ６５Ｈ３／１６；空気噴流または吸気装置による磁気的支持装置からの薄板状または繊維状部材の解放Ｂ６５Ｈ２９／２４；磁気的または電気的支持手段を用いた軸受Ｆ１６Ｃ３２／０４；磁気的手段を用いた軸受荷重の軽減Ｆ１６Ｃ３９／０６；磁石Ｈ０１Ｆ７／００；電動クラッチまたはブレーキＨ０２Ｋ４９／００；｛浮揚および加熱を同時に行う電気炉Ｈ０５Ｂ６／３２｝）
H02N15/02	フーコー電流によるもの
