H05B1/00	電気加熱装置の細部
H05B1/02	加熱装置に特に適合した自動開閉装置；｛加熱装置の制御｝（熱動スイッチＨ０１Ｈ３７／００）
H05B1/0202	｛スイッチ｝
H05B1/0205	｛可溶材料を使用するもの｝
H05B1/0208	｛ガスまたは液体の膨張または蒸発により作動されるもの｝
H05B1/0211	｛電気的導電性液体の膨張を利用するもの｝
H05B1/0213	｛バイメタル素子を利用するもの｝
H05B1/0216	｛固体物の膨張により作動されるもの，例．電線または棒｝
H05B1/0219	｛磁気的性質を変更することにより作動されるもの｝
H05B1/0222	｛重さ，水平位置または重心位置を変えることにより作動されるもの｝
H05B1/0225	｛タイマーにより作動されるもの｝
H05B1/0227	｛用途｝
H05B1/023	｛産業機器｝
H05B1/0233	｛半導体製造用｝
H05B1/0236	｛自動車用｝
H05B1/0238	｛座席用｝
H05B1/0241	｛複写機用｝
H05B1/0244	｛流体加熱（Ｈ０５Ｂ１／０２４７が優先）｝
H05B1/0247	｛化学的プロセスのためのもの｝
H05B1/025	｛医療器具のためのもの｝
H05B1/0252	｛家庭機器のためのもの｝
H05B1/0255	｛アイロン｝
H05B1/0258	｛調理用｝
H05B1/0261	｛食べ物｝
H05B1/0263	｛オーブン｝
H05B1/0266	｛レンジ台上面｝
H05B1/0269	｛流体加熱のためのもの｝
H05B1/0272	｛繊維の加熱のためのもの｝
H05B1/0275	｛空間の加熱，例．部屋，衣装ダンス｝
H05B1/0277	｛電気ラジエータ｝
H05B1/028	｛空調｝
H05B1/0283	｛流体加熱のためのもの，例．水加熱｝
H05B1/0286	｛蓄熱｝
H05B1/0288	｛不特定の用途のためのもの｝
H05B1/0291	｛チューブ状部材｝
H05B1/0294	｛平面状部材｝
H05B1/0297	｛不特定の用途のための流体加熱｝
H05B3/00	抵抗加熱
H05B3/0004	｛加熱電流が被加熱材料を流れる装置（被加熱材料に直接電流を通すことにより加熱するための電気回路図Ｈ０５Ｂ３／００２３；粒状物，粉末体または液体物質用のものＨ０５Ｂ３／６０）｝
H05B3/0009	｛被加熱材料が動いているもの｝
H05B3/0014	｛加熱電流が特定の抵抗を流れる装置｝
H05B3/0019	｛回路装置｝
H05B3/0023	｛被加熱材料に直接電流を通すことにより加熱するためのもの｝
H05B3/0033	｛ランプを使用する加熱装置｝
H05B3/0038	｛工業用｝
H05B3/0042	｛自動車で使用されるもの｝
H05B3/0047	｛半導体製造用｝
H05B3/0052	｛流体処理用｝
H05B3/0057	｛樹脂の取扱いおよび処理用（成形を含むものＢ２９Ｃ）｝
H05B3/0061	｛金属の処理用｝
H05B3/0066	｛複写印刷用｝
H05B3/0071	｛家庭用｝
H05B3/0076	｛調理用，例．オーブン内（非金属の調理プレートに特に適合するランプＨ０５Ｂ３／７４２，Ｈ０５Ｂ３／７４４）｝
H05B3/008	｛内部空間の加熱用｝
H05B3/0085	｛医療用｝
H05B3/009	｛特定の用途に特に限定されない加熱装置｝
H05B3/0095	｛ローラ状の加熱装置（誘導により加熱するものＨ０５Ｂ６／１４５）｝
H05B3/02	細部
H05B3/03	電極
H05B3/04	防水または気密ヒータ
H05B3/06	結合素子または支持体と構造的に組み合わせた発熱素子
H05B3/08	高温に特に適した電気的接続をもつもの
H05B3/10	材料の組成または性質または導体の配置に特徴のある加熱要素（組成それ自体は，関連するサブクラスを参照
H05B3/12	導体材料の組成または性質に特徴のあるもの
H05B3/14	材料が非金属のもの
H05B3/141	｛導電セラミック，例．金属酸化物，金属炭化物，チタン酸バリウム，フェライト，酸化ジルコニウム，ガラス化合物｝
H05B3/143	｛半導体に適用されるもの，例．ウェハーの加熱（Ｈ０５Ｂ３／００４７が優先）｝
H05B3/145	｛炭素のみのもの，例．カーボンブラック，黒鉛｝
H05B3/146	｛導電性重合体，例．ポリエチレン，熱可塑性樹脂｝
H05B3/148	｛ケイ素，例．炭化ケイ素，ケイ化マグネシウム，発熱トランジスタまたはダイオード｝
H05B3/16	導体が絶縁基体にそう着されているもの
H05B3/18	導体が絶縁物質の中に埋込まれたもの
H05B3/20	２次元の平面の表面をもつ発熱素子，例．プレートヒータ（Ｈ０５Ｂ３／６２，Ｈ０５Ｂ３／６８，Ｈ０５Ｂ３／７８，Ｈ０５Ｂ３／８４が優先）
H05B3/22	非可撓性のもの
H05B3/24	発熱導体が自己支持しているもの
H05B3/26	絶縁基体に取り付けられた発熱導体｛（透明部分用のものＨ０５Ｂ３／８４，Ｈ０５Ｂ３／８６）｝
H05B3/262	｛絶縁基体が絶縁金属板であるもの｝
H05B3/265	｛絶縁基体が無機材，例．セラミック，であるもの（Ｈ０５Ｂ３／２６２が優先）｝
H05B3/267	｛絶縁基体が有機材，例．プラスチック，であるもの（Ｈ０５Ｂ３／２６２が優先）｝
H05B3/28	絶縁物質に埋込まれた発熱導体
H05B3/283	｛絶縁材が無機材，例．セラミック，であるもの｝
H05B3/286	｛絶縁材が有機材，例．プラスチック，であるもの｝
H05B3/30	金属板の上または間に設けられたもの
H05B3/32	発熱導体が金属わく上の絶縁体にそう着されているもの
H05B3/34	可撓性のもの，例．網または織ったもの
H05B3/342	｛衣服に用いられる加熱器｝
H05B3/345	｛メリヤス｝
H05B3/347	｛織布｝
H05B3/36	発熱導体が絶縁物質に埋込まれているもの
H05B3/38	粉末導体
H05B3/40	棒あるいは管状の発熱素子（Ｈ０５Ｂ３／６２，Ｈ０５Ｂ３／６８，Ｈ０５Ｂ３／７８が優先）
H05B3/42	非可撓性のもの
