B67B   1/00  \	0	0	3E080	B67B   1/00	115	栓によるびん，広口びんまたは類似の容器の閉鎖（栓それ自体Ｂ６５Ｄ３９／００）	Closing bottles, jars, or similar containers by applying stoppers (stoppers per se B65D39/00)
B67B   1/03  \	1	1	3E080	B67B   1/03	21	栓の前処理，例．洗浄，蒸し，加熱，浸み込みまたはコーティング；栓に弾性リングを装着するもの（コルクの機械的加工Ｂ２７Ｊ５／００）［５］	Pretreatment of stoppers, e.g. cleaning, steaming, heating, impregnating or coating; Applying resilient rings to stoppers (mechanical working of cork B27J 5/00) [5]
B67B   1/04  \	1	1	3E080	B67B   1/04	154	ねじのない栓，例．コルク，を押込むことによるもの	by inserting threadless stoppers, e.g. corks
B67B   1/06  \	1	1	3E080	B67B   1/06	49	ねじ栓を押込み回転することによるもの	by inserting and rotating screw stoppers
B67B   1/08  \	1	1	3E080	B67B   1/08	12	びんの首部分と協働する押圧手段によって適当な位置に保持されている栓，例．揺動栓，の固定	Securing stoppers, e.g. swing stoppers, which are held in position by associated pressure-applying means coacting with the bottle neck
B67B   1/10  \	1	1	3E080	B67B   1/10	102	円板状閉鎖具の挿入によるもの［６］	by inserting disc closures [6]
B67B   3/00  \	0	0	3E080	B67B   3/00	211	キャップの装着によるびん，広口または類似の容器の閉鎖（キャップそれ自体Ｂ６５Ｄ４１／００）	Closing bottles, jars, or similar containers by applying caps (caps per seB65D41/00)
B67B   3/02  \	1	1	3E080	B67B   3/02	98	フランジの付いている蓋，例．王冠，を用いそしてフランジを変形させることにより固定するもの	by applying flanged caps, e.g. crown caps, and securing by deformation of flanges
B67B   3/04  \	2	2	3E080	B67B   3/04	6	キャッピングマシンにおいて帯材から蓋を切り出すもの（帯材の動きを整合するための装置Ｂ６５Ｈ２３／００）	Cutting caps from strip material in capping machines (devices for registering moving strip material B65H 23/00)
B67B   3/06  \	2	2	3E080	B67B   3/06	237	キャッピングヘッドのキャップの送り	Feeding caps to capping heads
B67B   3/062  \	3	3	3E080	B67B   3/062	37	マガジンからの送り	from a magazine
B67B   3/064  \	3	3	3E080	B67B   3/064	45	ホッパーからの送り	from a hopper
B67B   3/10  \	2	2	3E080	B67B   3/10	132	キャップを装着するためのキャップイングヘッド	Capping heads for securing caps
B67B   3/12  \	3	3	3E080	B67B   3/12	39	キャップのフランジを変形させるため，例．突き出たフランジの縁を内側に加圧するために，キャップと軸方向に対し相対的に可動できることに特徴があるもの	characterised by being movable axially relative to cap to deform flanges thereof, e.g. to press projecting flange rims inwardly
B67B   3/14  \	3	3	3E080	B67B   3/14	73	キャップのフランジに半径方向の圧力を加えるために可動部材，例．ヒンジ爪，を有することに特徴があるもの（Ｂ６７Ｂ３／１６，Ｂ６７Ｂ３／１８が優先）［５］	characterised by having movable elements, e.g. hinged fingers, for applying radial pressure to the flange of the cap (B67B 3/16, B67B 3/18 take precedence) [5]
B67B   3/16  \	3	3	3E080	B67B   3/16	11	弾性変形部材，例．弾性スリーブまたはカラー，を有することに特徴があるもの（Ｂ６７Ｂ３／１８が優先）［５］	characterised by having resilient deforming elements, e.g. resilient sleeves or collars (B67B3/18 takes precedence) [5]
B67B   3/18  \	3	3	3E080	B67B   3/18	171	回転自在であることに特徴があるもの，例．所定の箇所にねじ山を形成するためのもの［５］	characterised by being rotatable, e.g. for forming screw threads <u>in situ</u> [5]
B67B   3/20  \	1	1	3E080	B67B   3/20	658	あらかじめ形式されたねじキャップを適用し回転することによるもの（弾性変形部材によりねじ山を所定の位置に形成するものＢ６７Ｂ３／１６，回転キャッピングヘッドによるものＢ６７Ｂ３／１８）［５］	by applying and rotating preformed threaded caps (forming threads in situ by resilient deforming means B67B3/16, by rotary capping heads B67B3/18) [5]
B67B   3/22  \	1	1	3E080	B67B   3/22	55	スナップ―オンキャップを用いることによるもの	by applying snap-on caps
B67B   3/24  \	1	1	3E080	B67B   3/24	90	真空のもとで蓋をするための特殊な手段	Special measures for applying and securing caps under vacuum
B67B   3/26  \	1	1	3E080	B67B   3/26	226	キャッピング装置における制御，警告，安全装置の適用	Applications of control, warning, or safety devices in capping machinery
B67B   3/28  \	1	1	3E080	B67B   3/28	78	びんまたは広口びんとキャップイングヘッドとの間に相対運動を起こさせる機構［５］	Mechanisms for causing relative movement between bottle or jar and capping head [5]
B67B   5/00  \	0	0	3E080	B67B   5/00	108	閉鎖具への保護または装飾カバーの適用；針金によりびんの閉鎖具を固定するための装置（びんに定着させる手段をもつ幼児への哺乳用乳首Ａ６１Ｊ１１／０４）［６］	Applying protective or decorative covers to closures; Devices for securing bottle closures with wire (infant-feeding teats with means for fastening to bottles A61J11/04) [6]
B67B   5/03  \	1	1	3E080	B67B   5/03	286	閉鎖具に対する保護または装飾カバーの適用，例．所定の位置に形成することによるもの［３］	Applying protective or decorative covers to closures, e.g. by forming in situ [3]
B67B   5/05  \	2	2	3E080	B67B   5/05	1	液体を適用することによるもの，例．浸すことによるもの［３］	by applying liquids, e.g. by dipping [3]
B67B   5/06  \	1	1	3E080	B67B   5/06	74	針金によりびんの閉鎖具を固定するための装置（Ｂ６７Ｂ１／０８が優先）	Devices for securing bottle closures with wire (B67B1/08 takes precedence)
B67B   6/00  \	0	0	3E080	B67B   6/00	46	閉鎖部材によるびん、広口びんまたは類似の容器の閉鎖で、グループＢ６７Ｂ１／００〜Ｂ６７Ｂ５／００に分類されないもの［２００９．０１］	Closing bottles, jars or similar containers by applying closure members, not provided for in groups B67B1/00-B67B5/00 [2009.01]
B67B   7/00  \	0	0	3E081	B67B   7/00	304	閉鎖容器をあけるための手動または動力装置（釘の引抜具または引出具Ｂ２５Ｃ１１／００；容器または容器閉鎖具に取り付けられたまたは組み込まれたものＢ６５Ｄ）	Hand- or power-operated devices for opening closed containers (nail pullers or extractors B25C11/00; attached to, or incorporated in, containers or container closures B65D)
B67B   7/02  \	1	1	3E081	B67B   7/02	164	栓を取り外すためのもの	for removing stoppers
B67B   7/04  \	2	2	3E081	B67B   7/04	344	コルクスクリュー	Cork-screws
B67B   7/06  \	2	2	3E081	B67B   7/06	26	他のコルク栓取り外し具	Other cork removers
