D07B   1/00  \	0	0	3B153	D07B   1/00	598	ロープまたはケーブルの構造上の特徴	Constructional features of ropes or cables
D07B   1/02  \	1	1	3B153	D07B   1/02	1039	繊維状またはフィラメント状の材料，例．植物性繊維，動物性繊維，再生セルロース繊維，合成繊維，から構成されたロープ	Ropes built-up from fibrous or filamentary material, e.g. of vegetable origin, of animal origin, regenerated cellulose, plastics
D07B   1/04  \	2	2	3B153	D07B   1/04	179	中心線に平行に整列した繊維またはフィラメント状の芯をもつもの	with a core of fibres or filaments arranged parallel to the centre line
D07B   1/06  \	1	1	3B153	D07B   1/06	162	金属ワイヤから構成されたロープまたはケーブル，例．ワイヤが麻芯を囲んでいるもの	Ropes or cables built-up from metal wires, e.g. of section wires around a hemp core
D07B   1/06  A	1	0	3B153	D07B   1/06	2455	タイヤコ−ド	Tire cord
D07B   1/06  Z	1	0	3B153	D07B   1/06	1024	その他	Others
D07B   1/08  \	2	2	3B153	D07B   1/08	62	その層が異形のインターロックワイヤから形成されるもの，すなわち，ストランドが同心層を形成するもの	the layers of which are formed of profiled interlocking wires, i.e. the strands forming concentric layers
D07B   1/10  \	3	3	3B153	D07B   1/10	34	中心線に平行に整列したワイヤの芯をもつもの	with a core of wires arranged parallel to the centre line
D07B   1/12  \	1	1	3B153	D07B   1/12	79	中空の芯をもつロープまたはケーブル	Ropes or cables with a hollow core
D07B   1/14  \	1	1	3B153	D07B   1/14	274	混入した補助的な要素をもつロープまたはケーブル，例．ロープまたはケーブルの長さの方向にそって現れ，延長しているもの	Ropes or cables with incorporated auxiliary elements, e.g. for making, extending throughout the length of the rope or cable
D07B   1/16  \	1	1	3B153	D07B   1/16	1330	ゴムまたは合成樹脂で被覆した外装または埋め込みをもつロープまたはケーブル（Ｄ０７Ｂ１／０４，Ｄ０７Ｂ１／１０が優先）	Ropes or cables with an enveloping sheathing or inlays of rubber or plastics (D07B 1/04, D07B 1/10 take precedence)
D07B   1/18  \	1	1	3B153	D07B   1/18	114	索環	Grommets
D07B   1/20  \	1	1	3B153	D07B   1/20	70	浮索，例．空気を充満したはちの巣状の穴をもつもの；そのための付属品	Buoyant ropes, e.g. with air-filled cellular cores; Accessories therefor
D07B   1/22  \	1	1	3B153	D07B   1/22	65	扁（へん）平または扁平な側面をもったロープ；平行な複数本のロープの１組から成るロープの組	Flat or flat-sided ropes; Sets of ropes consisting of a series of parallel ropes
D07B   3/00  \	0	0	3B153	D07B   3/00	55	同質または異質の材料のコンポーネントストランドからロープまたはケーブルをねん成するための汎用の機械または装置	General-purpose machines or apparatus for producing twisted ropes or cables from component strands of the same or different material
D07B   3/00  A	0	0	3B153	D07B   3/00	405	交互ねん成	Intertwisting
D07B   3/00  Z	0	0	3B153	D07B   3/00	491	その他	Others
D07B   3/02  \	1	1	3B153	D07B   3/02	106	供給リールがロープまたはケーブルの軸のまわりに回転するもの	in which the supply reels rotate about the axis of the rope or cable
D07B   3/04  \	2	2	3B153	D07B   3/04	200	機械の軸にそって直列に配列されたもの	and are arranged in tandem along the axis of the machine
D07B   3/06  \	2	2	3B153	D07B   3/06	303	機械の軸に対して放射状に配置されたもの	and are spaced radially from the axis of the machine
D07B   3/08  \	1	1	3B153	D07B   3/08	183	巻き取り枠がロープまたはケーブルの軸のまわりに回転し，供給巻き枠が定位置に固定されたもの	in which the take-up reel rotates about the axis of the rope or cable and the supply reels are fixed in position
D07B   3/10  \	2	2	3B153	D07B   3/10	332	巻き取り枠の１回転毎にロープまたはケーブルに２回以上のよりを与えるための装備をもつもの	with provision for imparting more than one complete twist to the ropes or cables for each revolution of the take-up reel
D07B   3/12  \	1	1	3B153	D07B   3/12	33	フィラメントの回転している環によって作業するもの	operating with rotating loops of filaments
D07B   3/14  \	1	1	3B153	D07B   3/14	36	手動によるもの	hand-operated
D07B   5/00  \	0	0	3B153	D07B   5/00	28	特別な材料からのまたは特殊な形状のロープまたはケーブルの製造	Making ropes or cables from special materials or of particular form
D07B   5/00  A	0	0	3B153	D07B   5/00	94	平行線ケ−ブル，その製造方法及び製造装置	Parallel cables, manufacturing method thereof and manufacturing devices
D07B   5/00  B	0	0	3B153	D07B   5/00	65	撚戻り防止紐，その製造方法及び製造装置	Prevention strands of untwistings, manufacturing method thereof and manufacturing devices
