F03C   1/00  \	0	0	3H084	F03C   1/00	394	往復ピストン液体機関	Reciprocating-piston liquid engines
F03C   1/007  \	1	1	3H084	F03C   1/007	104	単一シリンダ，複動式ピストンをもつもの［５］	with single cylinder, double-acting piston [5]
F03C   1/013  \	1	1	3H084	F03C   1/013	66	単一シリンダ，単動式ピストンをもつもの［５］	with single cylinder, single-acting piston [5]
F03C   1/02  \	1	1	3H084	F03C   1/02	37	シリンダの数または配列に特徴がある多シリンダをもつもの（可動シリンダをもつものＦ０３Ｃ１／２２；可とう壁形のものＦ０３Ｃ７／００）	with multiple cylinders, characterised by the number or arrangement of cylinders (with movable cylinders F03C 1/22; of flexible-wall type F03C 7/00)
F03C   1/03  \	2	2	3H084	F03C   1/03	11	それぞれ１方向に作動する２つの単動式ピストン液体機関により２方向の運動が得られるもの［５］	with movement in two directions being obtained by two single-acting piston liquid engines, each acting in one direction [5]
F03C   1/04  \	2	2	3H084	F03C   1/04	238	星形または扇形に配列されているシリンダをもつもの	with cylinders in star- or fan-arrangement
F03C   1/047  \	3	3	3H084	F03C   1/047	76	シリンダの外端部においてピストンが作動部材と共動するもの［５］	the pistons co-operating with an actuated element at the outer ends of the cylinders [5]
F03C   1/053  \	3	3	3H084	F03C   1/053	220	シリンダの内端部においてピストンが作動部材と共動するもの［５］	the pistons co-operating with an actuated element at the inner ends of the cylinders [5]
F03C   1/06  \	2	2	3H084	F03C   1/06	1185	軸が主軸に対して一般に同軸，平行，傾斜しているシリンダをもつもの	with cylinder axes generally coaxial with, or parallel or inclined to, main shaft axis
F03C   1/08  \	1	1	3H084	F03C   1/08	68	特にそれに関係のある分配弁装置（多シリンダ機関用Ｆ０３Ｃ１／３４；容積形機関一般に対するものＦ０１Ｌ）	Distributing valve-gear peculiar thereto (for multiple-cylinder engines F03C 1/34; for engines with positive displacement in general F01L)
F03C   1/10  \	2	2	3H084	F03C   1/10	27	ピストンまたはピストン棒により作動されるもの	actuated by piston or piston-rod
