A		生活必需品	HUMAN NECESSITIES	
A01		農業；林業；畜産；狩猟；捕獲；漁業	AGRICULTURE; FORESTRY; ANIMAL HUSBANDRY; HUNTING; TRAPPING; FISHING	
A01B		農業または林業における土作業：農業機械または器具の部品，細部または附属具一般（播種，植え付けまたは施肥のための条溝または孔の形成又は覆土Ａ０１Ｃ５／００；根菜作物の収穫機械Ａ０１Ｄ；土作業装置に転換できる，または土作業ができる刈取機Ａ０１Ｄ４２／０４；土作業器具と結合した刈取機Ａ０１Ｄ４３／１２；土木工事のための土作業Ｅ０１，Ｅ０２，Ｅ２１）<br><b><ul>サブクラス内の索引</ul></b><br>手作業道具　１／００<br>プラウ<br>一般構造　３／００，５／００，９／００，１１／００<br>特殊構造　１３／００，１７／００<br>細部　１５／００<br>ハロー<br>一般構造　１９／００，２１／００<br>特殊構造　２５／００<br>細部　２３／００<br>プラウ，ハローまたは同様のものとして使用できる器具　７／００<br>他の機械　２７／００〜４５／００，４９／００，７７／００<br>機械または作業機の機素または部分品　５９／００〜７１／００<br>農業における運搬　５１／００，７３／００，７５／００<br>農業機械または器具の部品，細部又は附属具一般　７６／００<br>土作業のための特殊方法　４７／００，７９／００	SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL(making or covering furrows or holes for sowing, planting or manuring A01C5/00; machines for harvesting root crops A01D; mowers convertible to soil working apparatus or capable of soil working A01D42/04; mowers combined with soil working implements A01D43/12; soil working for engineering purposes E01, E02, E21);<br><br><b><u>Subclass indexes</u></b><br><br><br>HAND TOOLS A01B1/00<br>PLOUGHS<br>General construction A01B3/00, A01B5/00, A01B9/00, A01B11/00<br>Special adaptations A01B13/00, A01B17/00<br>Details A01B15/00<br>HARROWS<br>General construction A01B19/00, A01B21/00<br>Special applications A01B25/00<br>Details A01B23/00<br>IMPLEMENTS USABLE EITHER AS PLOUGHS OR AS HARROWS OR THE LIKE A01B7/00<br>OTHER MACHINES A01B27/00 to A01B45/00 , A01B49/00, A01B77/00<br>ELEMENTS OR PARTS OF MACHINES OR IMPLEMENTS A01B59/00 to A01B71/00 <br>TRANSPORT IN AGRICULTURE A01B51/00, A01B73/00, A01B75/00<br>OTHER PARTS, DETAILS OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS A01B76/00<br>PARTICULAR METHODS FOR WORKING SOIL A01B47/00, A01B79/00	4274
A01C		植付け；播種；施肥（農業機械または器具の部品，細部または付属具一般Ａ０１Ｂ５１／００〜Ａ０１Ｂ７５／００）［２００６．０１］<br><b><ul>サブクラス内の索引</ul></b><br>施肥<br>方法　３／００，２１／００<br>装置　３／００，１５／００，１７／００，１９／００，２３／００<br>播種または植付前の作業　１／００<br>植付け　９／００，１１／００，１３／００，１４／００<br>播種　７／００，１７／００，１９／００<br>共通装置　５／００	PLANTING; SOWING; FERTILISING(parts, details or accessories of agricultural machines or implements, in general A01B51/00 to A01B75/00 );<br><br><b><u>Subclass indexes</u></b><br><br><br>FERTILISING<br>Methods A01C3/00, A01C21/00<br>Apparatus A01C3/00, A01C15/00, A01C17/00, A01C19/00, A01C23/00<br>WORK PREVIOUS TO SOWING OR PLANTING A01C1/00<br>PLANTING A01C9/00, A01C11/00, A01C13/00, A01C14/00<br>SOWING A01C7/00, A01C17/00, A01C19/00<br>COMMON APPARATUS A01C5/00	2117
A01D		収穫；草刈り<br><b><ul>注</ul></b><br>このサブクラスは，例えばマルチ（ｍｕｌｃｈ）を敷設するための，刈り株の細砕または粉砕を包含するが，その他の不要植物の機械的駆除は包含しない。それはＡ０１Ｍ２１／０２グループに包含される。［７］<br><b><ul>サブクラス内の索引</ul></b><br>手作業用具<br>刈取具，レイキ，フォーク，その他　１／００，７／００，９／００，１１／００<br>付属装置　３／００，５／００<br>根菜作物収穫機<br>掘取機　１３／００〜１９／００，２７／００<br>冠根部の切断　２３／００，２７／００<br>特定の産物用　１３／００，２１／００，２５／００，２９／００<br>その他の機械　３１／００<br>付属装置　３３／００<br>穀類または牧草の収穫または刈取り<br>収穫機または刈取機　３４／００，３７／００，４１／００，４２／００，４３／００<br>結束機　３７／００，３９／００<br>穂刈機　４７／００<br>特定の産物用　４４／００，４５／００<br>構成部分　５７／００〜６９／００<br>付属装置　７５／００，８５／００<br>牧草調製機　７６／００〜８４／００<br>その他の作物の収穫機<br>水中植物　４４／００<br>栽培中の作物　４５／００<br>果物，野菜，その他の摘取りまたは収納　４６／００，５１／００<br>集納，積込み，移送　５１／００，８５／００〜９０／００<br>一般的方法　９１／００	HARVESTING; MOWING; <br><br><b><u>Note(s)</u></b><br><br>This subclass <u>covers</u> the shredding or pulverising of stubble, e.g. for the purpose of producing mulch, but <u>does not cover</u> other mechanical destruction of unwanted vegetation, which is covered by group A01M21/02.<br><br><b><u>Subclass indexes</u></b><br><br><br>HAND IMPLEMENTS<br>Cutting implements, rakes, forks, others A01D1/00, A01D7/00, A01D9/00, A01D11/00<br>Accessories A01D3/00, A01D5/00<br>MACHINES FOR HARVESTING ROOT CROPS<br>Diggers A01D13/00 to A01D19/00 , A01D27/00<br>Topping A01D23/00, A01D27/00<br>For specific products A01D13/00, A01D21/00, A01D25/00, A01D29/00<br>Other machines A01D31/00<br>Accessories A01D33/00<br>HARVESTING OR MOWING CEREALS OR GRASS<br>Harvesters or mowers A01D34/00, A01D37/00, A01D41/00, A01D42/00, A01D43/00<br>Binders A01D37/00, A01D39/00<br>Headers A01D47/00<br>For specific products A01D44/00, A01D45/00<br>Components A01D57/00 to A01D69/00 <br>Accessories A01D75/00, A01D85/00<br>HAYMAKERS A01D76/00 to A01D84/00 <br>HARVESTING OTHER CROPS<br>Underwater plants A01D44/00<br>Standing crops A01D45/00<br>Picking or gathering fruits, vegetables, or the like A01D46/00, A01D51/00<br>GATHERING, LOADING, TRANSPORT A01D51/00, A01D85/00 to A01D90/00 <br>GENERAL METHODS A01D91/00	3570
A01F		脱穀（コンバインＡ０１Ｄ４１／００）　；わら，乾草または類似のものの梱包；わら，乾草または類似のものを束にする，またはしばるための定置装置または手道具；わら，乾草または類似のものの切断；農業収穫物または園芸収穫物の貯蔵（収穫物の集積を作りまたは配置するための装置Ａ０１Ｄ８５／００）<br><b><ul>サブクラス内の索引</ul></b><br>脱穀<br>装置の機能的な類型　５／００，７／００<br>特殊な適用　１１／００<br>細部　１２／００<br>わら，乾草または類似のものの梱包　１／００，１３／００，１５／００<br>脱穀機または梱包圧縮機の付属装置　１７／００，１９／００，２１／００<br>農業収穫物または園芸収穫物の貯蔵　２５／００<br>わら，乾草または類似のものを切断する機械または道具　３／００，２９／００	THRESHING(combines A01D41/00);BALING OF STRAW, HAY OR THE LIKE; STATIONARY APPARATUS OR HAND TOOLS FOR FORMING OR BINDING STRAW, HAY OR THE LIKE INTO BUNDLES; CUTTING OF STRAW, HAY OR THE LIKE; STORING AGRICULTURAL OR HORTICULTURAL PRODUCE(arrangements for making or setting stacks in connection with harvesting A01D85/00);<br><br><b><u>Subclass indexes</u></b><br><br><br>THRESHING<br>Functional types of apparatusA01F5/00, A01F7/00<br>Special applicationsA01F11/00<br>DetailsA01F12/00<br>BALING OF STRAW, HAY OR THE LIKE A01F1/00, A01F13/00, A01F15/00<br>ACCESSORIES FOR THRESHING MACHINES OR BALING PRESSES A01F17/00, A01F19/00, A01F21/00<br>STORING AGRICULTURAL OR HORTICULTURAL PRODUCE A01F25/00<br>MACHINES OR IMPLEMENTS FOR CUTTING STRAW, HAY OR THE LIKEA01F3/00, A01F29/00	1628
A01G		園芸；野菜，花，稲，果樹，ぶどう，ホップ，または海草の栽培；林業；灌水（果実，野菜，ホップまたは類似のものの摘み取りＡ０１Ｄ４６／００；単細胞藻類培養Ｃ１２Ｎ１／１２）<br><b><ul>サブクラス内の索引</ul></b><br>栽培一般　<br>繁殖　２／００<br>園芸に特に適合した切り取り用具；立木の枝払い　３／００<br>植物生態一般　７／００<br>容器，温床または温室での栽培；植栽床，芝生または類似のものの縁取り　９／００<br>ホップ，ぶどう，果樹または類似の樹木の栽培　１７／００<br>きのこの栽培　１８／００<br>芝，芝生または類似のものの栽培；そのための装置または方法　２０／００<br>他に分類されない特定の作物または植物の栽培　２２／００<br>生育基質；培地；そのための装置または方法　２４／００<br>土なし栽培　３１／００<br>海草の栽培　３３／００<br>植物の保護　１１／００，１３／００，１５／００<br>花の摘取りまたは取扱い，果樹の取扱い　３／００，５／００<br>林業　２３／００<br>灌水　２５／００，２７／００，２９／００	HORTICULTURE; CULTIVATION OF VEGETABLES, FLOWERS, RICE, FRUIT, VINES, HOPS OR SEAWEED; FORESTRY; WATERING(picking of fruits, vegetables, hops or the like A01D46/00;  propagating unicellular algae C12N1/12);<br><br><b><u>Subclass indexes</u></b><br><br><br>CULTIVATION IN GENERAL<br>Vegetative propagationA01G2/00<br>Cutting implements specially adapted for horticultural purposes; Delimbing standing treesA01G3/00<br>Botany in generalA01G7/00<br>Cultivation in receptacles, forcing-frames or greenhouses; Edging for beds, lawn or the likeA01G9/00<br>Cultivation of hops, vines, fruit trees, or like treesA01G17/00<br>Cultivation of mushroomsA01G18/00<br>Cultivation of turf, lawn or the like; Apparatus or methods thereforA01G20/00<br>Cultivation of specific crops or plants not otherwise provided forA01G22/00<br>Growth substrates; Culture media; Apparatus or methods thereforA01G24/00<br>SOILLESS CULTIVATIONA01G31/00<br>CULTIVATION OF SEAWEEDA01G33/00<br>PROTECTION OF PLANTSA01G11/00, A01G13/00, A01G15/00<br>PICKING OR HANDLING FLOWERS, HANDLING FRUITA01G3/00, A01G5/00<br>FORESTRYA01G23/00<br>WATERINGA01G25/00, A01G27/00, A01G29/00	5146
A01H		新規植物またはそれらを得るための処理；組織培養技術による植物の増殖<br><b><ul>注</ul></b><br>１．このサブクラスは，耐病性，耐寒性および生育速度を含む新規植物に関するすべての面を含有する。<br><br>２．このサブクラスでは，被子植物，すなわち顕花植物であって，開示される場合，植物分類学によりグループＡ０１Ｈ６／００，植物部位によりグループＡ０１Ｈ５／００に分類される。<br><b><ul>サブクラス内の索引</ul></b><br>処理　１／００，３／００<br>増殖　４／００<br>開花植物；裸子植物　５／００；７／００<br>その他の生産物　９／００〜１７／００	NEW PLANTS OR PROCESSES FOR OBTAINING THEM; PLANT REPRODUCTION BY TISSUE CULTURE TECHNIQUES; <br><br><b><u>Note(s)</u></b><br><br>This subclass <u>covers</u> all aspects related to new plants, including disease resistance, cold resistance and growth speed.In this subclass, angiosperms, i.e. flowering plants, are classified in group A01H6/00 according to their botanic taxonomy and in group A01H5/00 according to their plant parts, where disclosed.<br><br><b><u>Subclass indexes</u></b><br><br><br>PROCESSESA01H1/00, A01H3/00<br>REPRODUCTIONA01H4/00<br>FLOWERING PLANTS; GYMNOSPERMSA01H5/00, A01H6/00;A01H7/00<br>OTHER PRODUCTSA01H9/00 to A01H17/00	938
A01J		酪農製品の製造（化学的事項に関してはＡ２３Ｃ参照）［２００６．０１］<br><b><ul>サブクラス内の索引</ul></b><br>搾乳　１／００〜９／００<br>乳またはクリームの処理　１１／００，１３／００<br>バターの製造　１５／００<br>バター，マーガリンまたはバター代用品の混練または成形　１７／００〜２３／００<br>チーズの製造　２５／００，２７／００<br>このサブクラスの他のグループに分類されない主題事項　９９／００	MANUFACTURE OF DAIRY PRODUCTS(for chemical matters, see subclass A23C);<br><br><b><u>Subclass indexes</u></b><br><br><br>MILKING A01J1/00 to A01J9/00 <br>TREATMENT OF MILK OR CREAM A01J11/00, A01J13/00<br>MANUFACTURING BUTTER A01J15/00<br>KNEADING OR FORMING BUTTER, MARGARINE OR BUTTER SUBSTITUTES A01J17/00 to A01J23/00 <br>CHEESE-MAKING A01J25/00, A01J27/00<br>SUBJECT MATTER NOT PROVIDED FOR IN OTHER GROUPS OF THIS SUBCLASS A01J99/00	701
A01K		畜産；鳥，魚，昆虫の飼育；漁業；他に分類されない動物の飼育または繁殖；新規な動物<br><b><ul>注</ul></b><br>このサブクラスは以下のものを包含する：<br>―全動物の世話，養殖または飼育のための設備，または他の箇所，例．搾乳Ａ０１Ｊ，動物の装蹄Ａ０１Ｌ，獣医用器具Ａ６１Ｄ，ばん馬具に関連して用いる器具Ｂ６８Ｂ，に分類されるものを除いて動物から生産物を得るための設備<br>―動物繁殖の方法または新規な動物［５］<br><b><ul>サブクラス内の索引</ul></b><br>畜産一般，特に家畜の飼育<br>飼育設備，給餌または給水装置　１／００〜９／００<br>飼育；口輪；ひき綱　１５／００；２５／００；２７／００<br>標識；訓律具　１１／００；１３／００<br>毛の刈込み　１４／００<br>他の装置　１７／００〜２３／００；２９／００<br>鳥類飼育；卵<br>飼育設備，給餌または給水具　３１／００，３９／００<br>標識　３５／００<br>他の装置　３３／００，３７／００，４１／００，４３／００，４５／００<br>養蜂<br>飼育設備，給餌または給水具　４７／００，５３／００<br>他の装置　４９／００，５１／００，５５／００，５７／００，５９／００<br>養魚　６１／００，６３／００<br>他の飼育または繁殖，新規な動物　６７／００<br>網による漁　６９／００〜７５／００<br>魚釣<br>釣竿；リール　８７／００；８９／００<br>釣糸；その付属品　９１／００；８３／００，８５／００，９３／００，９５／００<br>付属品　９７／００<br>他の漁撈　６９／００，７７／００〜８１／００，９９／００	ANIMAL HUSBANDRY; AVICULTURE; APICULTURE; PISCICULTURE; FISHING; REARING OR BREEDING ANIMALS, NOT OTHERWISE PROVIDED FOR; NEW BREEDS OF ANIMALS; <br><br><b><u>Note(s)</u></b><br><br>This subclass <u>covers</u>: equipment for the care, culture or rearing of all animals or for obtaining their products, unless provided for elsewhere, e.g. milking A01J, shoeing animals A01L, veterinary devices A61D, devices in connection with harnesses B68B;methods of breeding animals or new animal breeds.<br><br><b><u>Subclass indexes</u></b><br><br><br>ANIMAL HUSBANDRY IN GENERAL, ESPECIALLY CATTLE RAISING<br>Housing, feeding or watering devices A01K1/00 to A01K9/00 <br>Taming; muzzles, leads A01K15/00; A01K25/00; A01K27/00<br>Marking; devices for grooming A01K11/00; A01K13/00<br>Removing the fleece A01K14/00<br>Other apparatus A01K17/00 to A01K23/00 , A01K29/00<br>AVICULTURE; EGGS<br>Housing, feeding or drinking appliances A01K31/00, A01K39/00<br>Marking A01K35/00<br>Other apparatus A01K33/00, A01K37/00, A01K41/00, A01K43/00, A01K45/00<br>APICULTURE<br>Housing, feeding or drinking appliances A01K47/00, A01K53/00<br>Other devices A01K49/00, A01K51/00, A01K55/00, A01K57/00, A01K59/00<br>PISCICULTURE A01K61/00, A01K63/00<br>OTHER REARING OR BREEDING, NEW BREEDS A01K67/00<br>FISHING WITH NETS A01K69/00 to A01K75/00 <br>ANGLING<br>Rods; reels A01K87/00; A01K89/00<br>Lines; accessories therefor A01K91/00; A01K83/00, A01K85/00, A01K93/00, A01K95/00<br>Accessories A01K97/00<br>OTHER FISHING A01K69/00, A01K77/00 to A01K81/00 , A01K99/00	7233
A01L		動物の装蹄<br><b><ul>サブクラス内の索引</ul></b><br>蹄鉄　１／００，３／００，５／００，９／００<br>装備および付属品　７／００，１１／００，１３／００，１５／００	SHOEING OF ANIMALS; <br><br><b><u>Subclass indexes</u></b><br><br><br>SHOES A01L1/00, A01L3/00, A01L5/00, A01L9/00<br>EQUIPMENT AND ACCESSORIES A01L7/00, A01L11/00, A01L13/00, A01L15/00	118
