D07B   1/00		ロープまたはケーブルの構造上の特徴	Constructional features of ropes or cables	1731
D07B   1/02	・	繊維状またはフィラメント状の材料，例．植物性繊維，動物性繊維，再生セルロース繊維，合成繊維，から構成されたロープ	Ropes built-up from fibrous or filamentary material, e.g. of vegetable origin, of animal origin, regenerated cellulose, plastics	2802
D07B   1/04	・・	中心線に平行に整列した繊維またはフィラメント状の芯をもつもの	with a core of fibres or filaments arranged parallel to the centre line	678
D07B   1/06	・	金属ワイヤから構成されたロープまたはケーブル，例．ワイヤが麻芯を囲んでいるもの	Ropes or cables built-up from metal wires, e.g. of section wires around a hemp core	7152
D07B   1/08	・・	その層が異形のインターロックワイヤから形成されるもの，すなわち，ストランドが同心層を形成するもの	the layers of which are formed of profiled interlocking wires, i.e. the strands forming concentric layers	299
D07B   1/10	・・・	中心線に平行に整列したワイヤの芯をもつもの	with a core of wires arranged parallel to the centre line	742
D07B   1/12	・	中空の芯をもつロープまたはケーブル	Ropes or cables with a hollow core	253
D07B   1/14	・	混入した補助的な要素をもつロープまたはケーブル，例．ロープまたはケーブルの長さの方向にそって現れ，延長しているもの	Ropes or cables with incorporated auxiliary elements, e.g. for making, extending throughout the length of the rope or cable	2729
D07B   1/16	・	ゴムまたは合成樹脂で被覆した外装または埋め込みをもつロープまたはケーブル（Ｄ０７Ｂ１／０４，Ｄ０７Ｂ１／１０が優先）	Ropes or cables with an enveloping sheathing or inlays of rubber or plastics(D07B1/04, D07B1/10 take precedence)	3679
D07B   1/18	・	索環	Grommets	591
D07B   1/20	・	浮索，例．空気を充満したはちの巣状の穴をもつもの；そのための付属品	Buoyant ropes, e.g. with air-filled cellular cores; Accessories therefor	126
D07B   1/22	・	扁（へん）平または扁平な側面をもったロープ；平行な複数本のロープの１組から成るロープの組	Flat or flat-sided ropes; Sets of ropes consisting of a series of parallel ropes	527
D07B   3/00		同質または異質の材料のコンポーネントストランドからロープまたはケーブルをねん成するための汎用の機械または装置	General-purpose machines or apparatus for producing twisted ropes or cables from component strands of the same or different material	2398
D07B   3/02	・	供給リールがロープまたはケーブルの軸のまわりに回転するもの	in which the supply reels rotate about the axis of the rope or cable	351
D07B   3/04	・・	機械の軸にそって直列に配列されたもの	and are arranged in tandem along the axis of the machine	539
D07B   3/06	・・	機械の軸に対して放射状に配置されたもの	and are spaced radially from the axis of the machine	459
D07B   3/08	・	巻き取り枠がロープまたはケーブルの軸のまわりに回転し，供給巻き枠が定位置に固定されたもの	in which the take-up reel rotates about the axis of the rope or cable and the supply reels are fixed in position	352
D07B   3/10	・・	巻き取り枠の１回転毎にロープまたはケーブルに２回以上のよりを与えるための装備をもつもの	with provision for imparting more than one complete twist to the ropes or cables for each revolution of the take-up reel	501
D07B   3/12	・	フィラメントの回転している環によって作業するもの	operating with rotating loops of filaments	140
D07B   3/14	・	手動によるもの	hand-operated	60
D07B   5/00		特別な材料からのまたは特殊な形状のロープまたはケーブルの製造	Making ropes or cables from special materials or of particular form	1639
D07B   5/02	・	わらまたはわら状の植物性材料からの製造	from straw or like vegetable material	197
D07B   5/04	・	ロープバンド	Rope bands	129
D07B   5/06	・	天然または人造繊維からの製造	from natural or man-made staple fibres	161
D07B   5/08	・・	接着剤にて膠（こう）着されたもの	agglutinated by adhesives	58
D07B   5/10	・	非円形断面のストランドからの製造	from strands of non-circular cross-section	134
D07B   5/12	・	くせ付けまたは直線化処理を含む方法による弱ねんまたは低張力のものの製造	of low twist or low tension by processes comprising setting or straightening treatments	204
D07B   7/00		ロープまたはケーブル製造機械の細部または付属した補助装置；この機械に関連した補助具	Details of, or auxiliary devices incorporated in, rope- or cable-making machines; Auxiliary apparatus associated with such machines	564
D07B   7/02	・	機械の細部；補助装置	Machine details; Auxiliary devices	3255
D07B   7/04	・・	ボビンまたはリール支持回転枠に対して逆回転を与えるための装置	Devices for imparting reverse rotation to bobbin- or reel cages	78
D07B   7/06	・・	供給ボビンまたはリールに対する軸受支持部材または制動器	Bearing supports or brakes for supply bobbins or reels	454
D07B   7/08	・・	供給リールまたはボビンから送り出されたフィラメント状の材料の消費または切断に応動する警報または停止運動	Alarms or stop motions responsive to exhaustion or breakage of filamentary material fed from supply reels or bobbins	395
D07B   7/10	・・	仕上げしたロープまたはケーブルの巻き取りまたは巻き返し装置	Devices for taking-up or winding the finished rope or cable	734
D07B   7/12	・・	ロープ，ケーブルまたはそれらのコンポーネントストランドの柔軟化，潤滑または含浸するためのもの	for softening, lubricating, or impregnating ropes, cables, or component strands thereof	767
D07B   7/14	・・	ロープ，ケーブルまたはそれらの構成用ストランドを被覆または被包するためのもの（表面に対する液体または他の流体の供給一般Ｂ０５；伸長した芯に対する被包一般Ｂ６５Ｈ８１／０６）	for coating or wrapping ropes, cables, or component strands thereof(applying liquids or other fluent materials to surfaces in general B05; wrapping elongated cores in general B65H81/06)	1625
D07B   7/16	・	補助具	Auxiliary apparatus	1195
D07B   7/18	・・	ロープまたはケーブルを処理または継ぎ合わせるために，構成部分を延展または解ねんさせるためのもの	for spreading or untwisting ropes or cables into constituent parts for treatment or splicing purposes	429
D07B   9/00		端部の結束または封着，例．ほつれ防止のためのもの	Binding or sealing ends, e.g. to prevent unravelling	1425
