E		固定構造物	FIXED CONSTRUCTIONS	
E01		道路，鉄道または橋りょうの建設	CONSTRUCTION OF ROADS, RAILWAYS, OR BRIDGES	
E01B		軌道；軌道用の工具；あらゆる種類の鉄道建設用機械（軌道上の脱線または復帰ブロック，軌道制動またはリターダＢ６１Ｋ；軌道からの異物の除去，除草，液体の散布Ｅ０１Ｈ）<br><b><ul>サブクラス内の索引</ul></b><br>軌道の構造<br>一般的構造　２／００<br>道床，横または縦まくら木　１／００，３／００<br>一般軌道用レールまたは転てつ器　５／００〜１３／００，２６／００<br>特殊軌道用レールまたは転てつ器　２１／００〜２６／００<br>保護装置　１５／００〜１９／００<br>道床または軌道の敷設，維持，更新，または取りはずし　２７／００〜３７／００	PERMANENT WAY; PERMANENT-WAY TOOLS; MACHINES FOR MAKING RAILWAYS OF ALL KINDS(derailing or rerailing blocks on track, track brakes or retarders B61K; removal of foreign matter from the permanent way, vegetation control, applying liquids E01H);<br><br><b><u>Subclass indexes</u></b><br><br><br>STRUCTURE OF THE PERMANENT WAY<br>General structure E01B2/00<br>Ballastway, transverse or longitudinal sleepers E01B1/00, E01B3/00<br>Rails or switches for general application E01B5/00 to E01B13/00 , E01B26/00<br>Rails or switches for particular application E01B21/00 to E01B26/00 <br>Protective arrangements E01B15/00 to E01B19/00 <br>MAKING, MAINTAINING, RENEWING, OR TAKING-UP THE BALLASTWAY OR THE TRACK E01B27/00 to E01B37/00	1106
E01C		道路，競技場あるいは類似のものの建設またはその表面の作成；建設または修復用の機械または補助工具（雪や氷を固めたり，地ならしして道路または類似表面を形成するものＥ０１Ｈ）<br><b><ul>サブクラス内の索引</ul></b><br>設計；基礎　１／００；３／００，１３／００<br>道路，運動場または類似のものの舗装<br>舗装一般　５／００，７／００<br>特殊舗装　９／００，１３／００，１５／００<br>細部　１１／００，１７／００<br>道路，運動場または類似のものの建設または修復　２１／００，１９／００，２３／００	CONSTRUCTION OF, OR SURFACES FOR, ROADS, SPORTS GROUNDS, OR THE LIKE; MACHINES OR AUXILIARY TOOLS FOR CONSTRUCTION OR REPAIR(forming road or like surfaces by compacting or grading snow or ice E01H);<br><br><b><u>Subclass indexes</u></b><br><br><br>DESIGN; FOUNDATIONS E01C1/00; E01C3/00, E01C13/00<br>PAVING FOR ROADS, PLAYGROUNDS, OR THE LIKE<br>Paving in general E01C5/00, E01C7/00<br>Special paving E01C9/00, E01C13/00, E01C15/00<br>Details E01C11/00, E01C17/00<br>CONSTRUCTION OR REPAIR OF ROADS, PLAYGROUNDS, OR THE LIKE E01C21/00, E01C19/00, E01C23/00	1610
E01D		橋（客の乗降のためにターミナルビルと航空機の間に架設する橋Ｂ６４Ｆ１／３０５）<br><b><ul>注</ul></b><br>このサブクラスにおいては，グループ１０１／００のインデキシングコードを付加することが望ましい。［６］<br><b><ul>サブクラス内の索引</ul></b><br>橋一般　１／００<br>支持スパン構造の断面に特徴のある橋　２／００<br>形式に特徴のある橋　４／００〜１５／００<br>機能に特徴のある橋　１８／００<br>細部　１９／００<br>橋の架設または組立て　２１／００<br>修理または強化　２２／００<br>橋の解体　２４／００	BRIDGES(bridges extending between terminal buildings and aircraft for embarking or disembarking passengers B64F1/305);<br><br><b><u>Note(s)</u></b><br><br>In this subclass, it is desirable to add the indexing codes of group E01D101/00.<br><br><b><u>Subclass indexes</u></b><br><br><br>BRIDGES IN GENERAL E01D1/00<br>BRIDGES CHARACTERISED BY THE CROSS-SECTION OF THEIR BEARING SPANNING STRUCTURE E01D2/00<br>BRIDGES CHARACTERISED BY THEIR STRUCTURAL TYPE E01D4/00 to E01D15/00 <br>BRIDGES CHARACTERISED BY THEIR FUNCTION E01D18/00<br>DETAILS E01D19/00<br>ERECTING OR ASSEMBLING BRIDGES E01D21/00<br>REPAIRING OR STRENGTHENING EXISTING BRIDGES E01D22/00<br>DISMANTLING BRIDGES E01D24/00	670
E01F		道路の付帯設備の設置またはプラットフォーム，ヘリコプタの着陸台，標示，防雪さく，またはその類似のものの建設のような付帯作業<br><b><ul>サブクラス内の索引</ul></b><br>道路または鉄道用の装置　１／００，５／００〜８／００<br>道路使用を容易にするための装置　９／００〜１５／００<br>ヘリコプタの着陸台　３／００	ADDITIONAL WORK, SUCH AS EQUIPPING ROADS OR THE CONSTRUCTION OF PLATFORMS, HELICOPTER LANDING STAGES, SIGNS, SNOW FENCES, OR THE LIKE; <br><br><b><u>Subclass indexes</u></b><br><br><br>ARRANGEMENTS FOR ROADS OR RAILWAYS E01F1/00, E01F5/00 to E01F8/00 <br>ARRANGEMENTS FOR FACILITATING THE USE OF ROADS E01F9/00 to E01F15/00 <br>LANDING STAGES FOR HELICOPTERS E01F3/00	1794
E01H		街路の清掃；軌道の清掃；海岸の清掃；地面の清掃；霧の消散一般（芝生やその他の表面を，例．除雪のために，掃くあるいは清掃するための装置に転換できるモーア，あるいは芝生やその他の表面を掃く，または清掃することができるモーアＡ０１Ｄ４２／０６；清掃一般Ｂ０８Ｂ）［４］<br><b><ul>サブクラス内の索引</ul></b><br>街路の清掃　１／００，３／００，５／００，６／００，１１／００<br>雪面または氷面の整備または維持；すべり止めの増進　４／００；１０／００<br>軌道の清掃　８／００，１１／００<br>海岸の清掃　１２／００<br>他の清掃　１５／００<br>霧の消散　１３／００	STREET CLEANING; CLEANING OF PERMANENT WAYS; CLEANING BEACHES; CLEANING LAND; DISPERSING FOG IN GENERAL(mowers convertible to apparatus for sweeping or cleaning lawns or other surfaces, e.g. to remove snow, or capable of sweeping or cleaning lawns or other surfaces A01D42/06; cleaning in general B08B);<br><br><b><u>Subclass indexes</u></b><br><br><br>STREET CLEANING E01H1/00, E01H3/00, E01H5/00, E01H6/00, E01H11/00<br>MAKING OR MAINTAINING SURFACES OF SNOW OR ICE; IMPROVING GRIPPING POWER E01H4/00; E01H10/00<br>CLEANING OF PERMANENT WAYS E01H8/00, E01H11/00<br>CLEANING BEACHES E01H12/00<br>OTHER CLEANING OF LAND E01H15/00<br>DISPERSING FOG E01H13/00	876
E02		水工；基礎；土砂の移送	HYDRAULIC ENGINEERING; FOUNDATIONS; SOIL-SHIFTING	
E02B		水工（船舶のリフトＥ０２Ｃ；しゅんせつＥ０２Ｆ）<br><b><ul>サブクラス内の索引</ul></b><br>方法および装置一般　１／００，３／００<br>人工の水路　５／００<br>ダムまたはせき　７／００，８／００<br>水力発電所　９／００<br>排水；かんがい；開放水面の清掃　１１／００；１３／００；１５／００<br>杭または類似の支持物上の人工島　１７／００	HYDRAULIC ENGINEERING(ship-lifting E02C; dredging E02F);<br><br><b><u>Subclass indexes</u></b><br><br><br>METHODS AND EQUIPMENT IN GENERAL E02B1/00, E02B3/00<br>ARTIFICIAL WATER CANALS E02B5/00<br>BARRAGES OR WEIRS E02B7/00, E02B8/00<br>WATER-POWER PLANTS E02B9/00<br>DRAINAGE; IRRIGATION; CLEANING OF SURFACE OF OPEN WATER E02B11/00; E02B13/00; E02B15/00<br>ARTIFICIAL ISLANDS MOUNTED ON PILES OR LIKE SUPPORTS E02B17/00	2121
E02C		船のリフト装置または機構	SHIP-LIFTING DEVICES OR MECHANISMS	54
E02D		基礎，根切り；築堤（特に水工に適合したものＥ０２Ｂ）；地下または水中の構造物［６］<br><b><ul>注</ul></b><br>（１）このサブクラスは基礎工事により（つまり地表面をかき乱すことにより）構築する地下構造物を包含する。［６］<br>（２）このサブクラスは地中掘削方法のみにより（つまり，地表面をかき乱すことによらないで）構築する地下空間を包含しない。それはサブクラスＥ２１Ｄに包含される。［６］<br><b><ul>サブクラス内の索引</ul></b><br>基礎地盤または基礎岩盤の調査，改良または保持　１／００，３／００<br>構造要素とこれのための技術<br>構造要素　５／００<br>設置；撤去；設置と撤去；付属物　７／００；９／００；１１／００；１３／００<br>材料の取り扱い　１５／００<br>根切り，築堤　１７／００<br>基礎現場の乾燥の維持　１９／００<br>ケーソン　２３／００，２５／００<br>基礎構造物；地下または水中の構造物，擁壁　２７／００；２９／００<br>保護，試験，直線修正，引き上げ，修復　３１／００〜３７／００	FOUNDATIONS; EXCAVATIONS; EMBANKMENTS(specially adapted for hydraulic engineering E02B);UNDERGROUND OR UNDERWATER STRUCTURES; <br><br><b><u>Note(s)</u></b><br><br>This subclass <u>covers</u> underground structures made by foundation engineering, i.e. involving disturbance of the ground surface. This subclass <u>does not cover</u> underground spaces, made by underground mining methods only, i.e. not involving disturbance of the ground surface, which are covered by subclass E21D. <br><br><b><u>Subclass indexes</u></b><br><br><br>INVESTIGATING, IMPROVING OR PRESERVING FOUNDATION SOIL OR ROCK E02D1/00, E02D3/00<br>STRUCTURAL ELEMENTS AND TECHNIQUES THEREFOR<br>Structural elements E02D5/00<br>Placing; removing; placing and removing; accessories E02D7/00; E02D9/00; E02D11/00; E02D13/00<br>HANDLING MATERIALS E02D15/00<br>EXCAVATIONS, MAKING EMBANKMENTS E02D17/00<br>KEEPING DRY FOUNDATION SITES E02D19/00<br>CAISSONS E02D23/00, E02D25/00<br>FOUNDATIONS AS SUBSTRUCTURES; UNDERGROUND OR UNDERWATER STRUCTURES, RETAINING WALLS E02D27/00; E02D29/00<br>PROTECTING, TESTING, STRAIGHTENING, LIFTING, REPAIRING E02D31/00 to E02D37/00	2698
