E04G   1/00		主として地面にすえられる足場	Scaffolds primarily resting on the ground	1428
E04G   1/02	・	実質的に長い部材からなるもの，例．特別な形状の端部を備えるかまたは備えていない，何らかの手段で連結されたポール，ラチスマスト	composed essentially of members elongated in one dimension only, e.g. poles, lattice masts, with or without end portions of special form, connected together by any means	322
E04G   1/04	・・	部材がもっぱらポール，棒，はりおよび同様な形状で単純な横断面の他の部材であるもの	the members being exclusively poles, rods, beams, or other members of similar form and simple cross-section	1326
E04G   1/06	・・・	分離した連結片を備えるかまたは備えないで，端と端が一緒に固定される棒状または管状部分をもつ部材からなるもの	comprising members with rod-like or tubular portions fitting together end to end, with or without separate connecting pieces	1707
E04G   1/08	・・・	ボルトまたは類似物によって部材をつき通すことにより相互に固定するもの	secured together by bolts or the like penetrating the members	255
E04G   1/10	・・・・	木組構造	Timber-work constructions	23
E04G   1/12	・・	特別な部材からなるもの，例．複合材のもの，特別な横断面のもの，または他の部材を支持または取り付けのために突出部または類似のものあるいは側面に穴をもつもの	comprising members of special, e.g. composite, cross-section, or with lugs or the like or lateral apertures for supporting or attaching other members	513
E04G   1/14	・	実質的に，あらかじめ組みたてられた二次元の枠組状の要素からなるもの，例．Ｌ形，Ｈ形等で，筋交いを備えているか備えていないもの（Ｅ０４Ｇ１／１５が優先）［１，８］	Comprising essentially pre-assembled two-dimensional frame-like elements, e.g. of rods in L- or H-shape, with or without bracing(E04G1/15 takes precedence)	1974
E04G   1/15	・	実質的にプラットフォームを支持または形成するための特別な手段を有するもの（Ｅ０４Ｇ１／２０が優先）；プラットフォーム（足場板またはそのための板Ｅ０４Ｇ５／０８）［１，８］	essentially comprising special means for supporting or forming platforms(E04G1/20 takes precedence);Platforms(boards or planks therefor E04G5/08)	14258
E04G   1/17	・	実質的に，あらかじめ組みたてられた三次元の要素からなるもの，例．立方体状の要素からなるもの［８］	Comprising essentially pre-assembled three-dimensional elements, e.g. cubic elements	531
E04G   1/18	・	高さの調節ができるもの	adjustable in height	5840
E04G   1/20	・・	垂直部材とこれに沿っていろいろな位置で交叉部材またはプラットフォームを支持するための設備とからなる足場	Scaffolds comprising upright members and provision for supporting cross-members or platforms at different positions therealong	3811
E04G   1/22	・・	プラットフォームを有する足場であって，伸長させうる下部構造を有するもの，例．入れ子式または不精はさみ機構	Scaffolds having a platform on an extensible sub-structure, e.g. of telescopic type or with lazy-tongs mechanism	6038
E04G   1/24	・	実質的に特別な基部構造を有するもの；実質的に特別な地面とかみ合う部品を有するもの，例．傾斜した控え柱，車輪（構成部品Ｅ０４Ｇ５／００）	comprising essentially special base constructions; comprising essentially special ground-engaging parts, e.g. inclined struts, wheels(component parts E04G5/00)	15178
E04G   1/28	・	低い高さでのみ支持するように設計されたもの	designed to provide support only at a low height	739
E04G   1/30	・・	はしご状の足場	Ladder scaffolds	1393
E04G   1/32	・・	他の自立する支持具，例．架台を使用しているもの（スタンドまたは架台一般Ｆ１６Ｍ１１／００）	Other free-standing supports, e.g. using trestles(stands or trestles in general F16M11/00)	1176
E04G   1/34	・	角柱状または平らな部分に折りたたむことができるまたは折り返すことのできる足場構造	Scaffold constructions able to be folded in prismatic or flat parts or able to be turned down	3073
E04G   1/36	・	建築物の特別な部分または特別な形状の建築物に対する足場，例．階段，丸屋根，丸天井のためのもの	Scaffolds for particular parts of buildings or buildings of particular shape, e.g. for stairs, cupolas, domes	2933
E04G   1/38	・	建築物に部分的に支持されている足場（構造物に取り付けられるはしごＥ０６Ｃ１／３４）［８］	Scaffolds partly supported by the building(ladders attachable to structures E06C1/34)	499
E04G   3/00		建造物によって実質的に支持される足場，例．高さの調節ができるもの（Ｅ０４Ｇ１／００が優先）	Scaffolds essentially supported by building constructions, e.g. adjustable in height(E04G1/00 takes precedence)	5724
E04G   3/18	・	建築物の開口部に取りつけた片もちばりまたは他の装置により支持されるもの，例．窓の開口部（Ｅ０４Ｇ３／２８が優先）［８］	supported by cantilevers or other provisions mounted in openings in the building, e.g. window openings(E04G3/28 takes precedence)	2738
E04G   3/20	・	壁により支持されるもの（Ｅ０４Ｇ３／２８が優先；足場を支持する壁面取り付け金具Ｅ０４Ｇ５／０４；持ち送りＥ０４Ｇ５／０６）［８］	supported by walls(E04G3/28 takes precedence; wall-anchors for supporting scaffolds E04G5/04; consoles E04G5/06)	2389
E04G   3/22	・	屋根または天井により支持されるもの（Ｅ０４Ｇ３／２８が優先）［８］	supported by roofs or ceilings(E04G3/28 takes precedence)	807
E04G   3/24	・	建築物の特定箇所または特定の形の建築物に，特に適しているもの，例．煙突または塔門（Ｅ０４Ｇ３／２８が優先）［８］	specially adapted for particular parts of buildings or for buildings of particular shape, e.g. chimney stacks or pylons(E04G3/28 takes precedence)	3410
E04G   3/26	・・	屋根の上の作業に特に適しているもの［８］	specially adapted for working on roofs	753
E04G   3/28	・	可動式の足場；可動式のプラットフォームを伴った足場［８］	Mobile scaffolds; Scaffolds with mobile platforms	12552
E04G   3/30	・・	可とう性の支持要素により吊り下げられるもの，例．ケーブル［８］	suspended by flexible supporting elements, e.g. cables	5400
E04G   3/32	・・・	巻き上げ装置；安全装置［８］	Hoisting devices; Safety devices	5738
E04G   3/34	・・	屋根の上に備えられた支持構造に特徴のあるもの［８］	characterised by supporting structures provided on the roofs	1251
E04G   5/00		足場のための構成部品または付属部品（連結Ｅ０４Ｇ７／００）［１，８］	Component parts or accessories for scaffolds(connections E04G7/00)	30488
E04G   5/02	・	足場用の脚，例．調節装置を有するもの	Scaffold feet, e.g. with arrangements for adjustment	9259
E04G   5/04	・	建造物の上にまたは建造物に対して足場を固定，支持または引き締めるための手段（固着一般Ｆ１６Ｂ）	Means for fastening, supporting, or bracing scaffolds on or against building constructions(fastenings in general F16B)	15258
E04G   5/06	・	持ち送り；ブラケット	Consoles; Brackets	4722
E04G   5/08	・	足場板または厚板	Scaffold boards or planks	8584
E04G   5/10	・	足場に特に適した踏み板またははしご［８］	Steps or ladders specially adapted for scaffolds	5233
E04G   5/12	・	天がい［８］	Canopies	1597
E04G   5/14	・	手すり［８］	Railings	12564
E04G   5/16	・	支柱または補強棒，例．対角線状の棒［８］	Struts or stiffening rods, e.g. diagonal rods	4304
E04G   7/00		足場部品間の連結（建築構造に対するもの一般Ｅ０４Ｂ１／３８；連結一般Ｆ１６Ｂ）	Connections between parts of the scaffold(for building structures in general E04B1/38; connections in general F16B)	1235
E04G   7/02	・	分離した連結要素を有するもの	with separate coupling elements	1465
E04G   7/04	・・	ブラケットを有しまたは有しない可とう性要素，例．ロープ，ケーブル，鎖（一般的なものＦ１６Ｇ）	Flexible elements, with or without brackets, e.g. ropes, cables, chains(in general F16G)	346
E04G   7/06	・・	一般形状の足場部材を連結するための堅い足場用クランプ	Stiff scaffolding clamps for connecting scaffold members of common shape	1704
E04G   7/08	・・・	平行に配列された部材に対するクランプ	Clamps for parallely-arranged members	447
E04G   7/10	・・・・	自身で堅く結ぶクランプ，例．巻き金物	Self-tightening clamps, e.g. stirrups	127
E04G   7/12	・・・	交さする部材のためのクランプまたはクリップ（Ｅ０４Ｇ７／２２が優先）	Clamps or clips for crossing members(E04G7/22 takes precedence)	1083
E04G   7/14	・・・・	部材を別々に締め付けるもの	for clamping the members independently	1403
